address,city,county,lonlat,name,storeType
中山路132號,新北市,金山區,"121.639231,25.2200159",金山中山加盟服務中心,加盟
雙十路二段51號,新北市,板橋區,"121.47642940000003,25.0263523",板橋雙十店,直營
溪北路41號,新北市,板橋區,"121.42749800000001,24.990232",樹林站前店,直營
文化路一段289號,新北市,板橋區,"121.46480050000002,25.0188944",板橋文化店,直營
四川路一段223號,新北市,板橋區,"121.46007299999997,25.003583",板橋四川店,直營
民族路147號1樓,新北市,板橋區,"121.46787,25.0078529",板橋民族加盟服務中心,加盟
中正路150號,新北市,板橋區,"121.456797,25.016587",板橋新中正加盟服務中心,加盟
忠孝路164號,新北市,板橋區,"121.464231,25.002433",板橋忠孝加盟服務中心,加盟
中興路208號1樓,新北市,汐止區,"121.631343,25.066271",汐止中興加盟服務中心,加盟
大同路2段426.428.430號,新北市,汐止區,"121.6590508,25.0671004",汐止大同加盟服務中心,加盟
新台五路2段1-1號,新北市,汐止區,"121.6693309,25.0671619",汐止新臺五加盟服務中心,加盟
北新路3段74號,新北市,新店區,"121.542112,24.980404",新店北新加盟服務中心,加盟
北新路2段88號,新北市,新店區,"121.5430894,24.9729558",新店北新二加盟服務中心,加盟
中正路381號,新北市,新店區,"121.5345883,24.9768124",新店中正加盟服務中心,加盟
安康路二段156號,新北市,新店區,"121.51211290000003,24.9610282",新店安康加盟服務中心,加盟
永和路二段208號,新北市,永和區,"121.51582699999994,25.013732",永和永和店,直營
福和路189號1樓,新北市,永和區,"121.51976009999998,25.007547",永和福和店,直營
中山路三段115號,新北市,中和區,"121.47461820000001,25.0059157",中和環球店,直營
安樂路46號1樓,新北市,中和區,"121.5120034,24.9930932",中和南勢角加盟服務中心,加盟
學府路一段54號,新北市,土城區,"121.45738619999997,24.9885424",土城學府店,直營
中央路2段120號,新北市,土城區,"121.441871,24.9779189",土城中央二加盟服務中心,加盟
金城路三段161號1樓,新北市,土城區,"121.468915,24.988683",土城金城三加盟服務中心,加盟
裕生路5號,新北市,土城區,"121.4486399,24.9876466",土城裕生加盟服務中心,加盟
復興路40號,新北市,三峽區,"121.37381,24.936976",三峽復興加盟服務中心,加盟
中山路1段180號1樓,新北市,樹林區,"121.421761,24.988915",樹林中山加盟服務中心,加盟
建國路201號,新北市,鶯歌區,"121.349005,24.953412",鶯歌建國加盟服務中心,加盟
重新路二段68號,新北市,三重區,"121.49772800000005,25.061892",三重重新店,直營
龍門路26-1號,新北市,三重區,"121.4955457,25.0719987",三重龍門加盟服務中心,加盟
仁愛街397巷118號,新北市,三重區,"121.4929575,25.0821602",三重五華加盟服務中心,加盟
忠孝路2段154號,新北市,三重區,"121.4824563,25.0680905",三重忠孝加盟服務中心,加盟
中正路257號,新北市,新莊區,"121.449929,25.035256",新莊中正店,直營
新泰路214號1樓,新北市,新莊區,"121.44690889999993,25.0388894",新莊新泰店,直營
中華路二段93號,新北市,新莊區,"121.4527138,25.048112",新莊中華二加盟服務中心,加盟
富國路176巷3號,新北市,新莊區,"121.4242181,25.0242167",新莊新富國加盟服務中心,加盟
幸福路35號,新北市,新莊區,"121.4586376,25.0492829",新莊幸福加盟服務中心,加盟
明志路二段31號1樓,新北市,泰山區,"121.4297505,25.0533248",泰山明志加盟服務中心,加盟
西林里竹林路1號1樓,新北市,林口區,"121.3866853,25.0771765",林口竹林加盟服務中心,加盟
三民路224號,新北市,蘆洲區,"121.46873249999999,25.0894201",蘆洲三民店,直營
長安街237號,新北市,蘆洲區,"121.45925779999993,25.082967",蘆洲長安店,直營
成泰路2段128號1樓,新北市,五股區,"121.438961,25.0860987",五股成泰加盟服務中心,加盟
英專路67號,新北市,淡水區,"121.44566399999997,25.1712478",淡水英專店,直營
中山北路2段1-1號,新北市,淡水區,"121.4440342,25.1851569",淡水中山北加盟服務中心,加盟
民族里神農路二段十三號一樓,宜蘭縣,宜蘭市,"121.7506305,24.7505558",宜蘭神農加盟服務中心,加盟
中山路三段185號1樓,宜蘭縣,宜蘭市,"121.753096,24.760157",宜蘭中山加盟服務中心,加盟
興東路99號,宜蘭縣,羅東鎮,"121.76869399999998,24.6791791",羅東興東店,直營
興東南路248號1樓,宜蘭縣,羅東鎮,"121.7675863,24.6749103",羅東興東南加盟服務中心,加盟
中正路119號,宜蘭縣,羅東鎮,"121.7711739,24.6757328",羅東中正加盟服務中心,加盟
南大路335號,新竹市,東區,"120.96986689999994,24.7975771",新竹南大店,直營
林森路54號,新竹市,東區,"120.967953,24.8016001",新竹林森加盟服務中心,加盟
民生路140號1樓,新竹市,東區,"120.9771131,24.8103384",新竹巨城加盟服務中心,加盟
中山路102-1號,新竹市,北區,"120.96521600000005,24.8045411",新竹中山店,直營
水田街89號,新竹市,北區,"120.967718,24.815711",新竹水田加盟服務中心,加盟
三民路286號,新竹縣,竹北市,"121.01028410000004,24.8341698",新竹竹北店,直營
中正東路192號,新竹縣,竹北市,"121.015008,24.835273",竹北中正東加盟服務中心,加盟
中正路一段61號1樓,新竹縣,湖口鄉,"121.045601,24.902231",湖口中正加盟服務中心,加盟
新興路53號,新竹縣,新豐鄉,"120.9924121,24.8658454",新竹新豐加盟服務中心,加盟
長春路3段166號,新竹縣,竹東鎮,"121.0837788,24.7435072",竹東長春加盟服務中心,加盟
中山路104號,桃園市,中壢區,"121.22597700000006,24.9558329",中壢中山店,直營
中北路13號,桃園市,中壢區,"121.23588130000007,24.9559874",中壢中原店,直營
環中東路250-2號,桃園市,中壢區,"121.255754,24.9543339",內壢環中東加盟服務中心,加盟
龍慈路1號,桃園市,中壢區,"121.2455151,24.9416207",中壢龍慈加盟服務中心,加盟
忠孝路37號,桃園市,中壢區,"121.2564207,24.9734283",內壢忠孝加盟服務中心,加盟
中山東路二段125號一樓,桃園市,中壢區,"121.239227,24.9532039",中壢中山東加盟服務中心,加盟
龍東路315號,桃園市,中壢區,"121.254679,24.9319269",中壢龍東加盟服務中心,加盟
新生路217號,桃園市,中壢區,"121.222574,24.962179",中壢新生加盟服務中心,加盟
健行路133號,桃園市,中壢區,"121.2274254,24.9496089",中壢健行加盟服務中心,加盟
中豐路山頂段176號,桃園市,平鎮區,"121.2110501,24.9001534",平鎮中豐加盟服務中心,加盟
中正路258號,桃園市,龍潭區,"121.21724199999994,24.8626119",龍潭中正店,直營
北龍路205號,桃園市,龍潭區,"121.2157278,24.8670925",龍潭北龍加盟服務中心,加盟
大成路164號,桃園市,楊梅區,"121.145844,24.911824",楊梅大成加盟服務中心,加盟
中興路64號,桃園市,楊梅區,"121.1844656,24.9179217",楊梅中興加盟服務中心,加盟
中正路1248號,桃園市,桃園區,"121.29724950000002,25.0192015",桃園中正店,直營
中山路78號,桃園市,桃園區,"121.31065000000001,24.994644",桃園中山店,直營
中平路29號,桃園市,桃園區,"121.292273,24.989729",桃園中平加盟服務中心,加盟
永安路335號1樓,桃園市,桃園區,"121.300372,24.99961",桃園永安加盟服務中心,加盟
中正路931號1樓,桃園市,桃園區,"121.3000645,25.0124116",桃園大興西加盟服務中心,加盟
文化二路129號,桃園市,龜山區,"121.370459,25.053959",龜山文化加盟服務中心,加盟
中興路443號,桃園市,龜山區,"121.3368734,24.9935206",龜山中興加盟服務中心,加盟
廣福路187號,桃園市,八德區,"121.29456099999993,24.959494",八德廣福店,直營
桃鶯路68號,桃園市,八德區,"121.3272855,24.9707015",八德桃鶯加盟服務中心,加盟
介壽路一段961號,桃園市,八德區,"121.2995507,24.9590906",八德介壽加盟服務中心,加盟
慈湖路95號,桃園市,大溪區,"121.28892,24.8819519",大溪慈湖加盟服務中心,加盟
航站南路9號2樓,桃園市,大園區,"121.23197600000003,25.077012",桃園機場二航店,直營
航站南路15號2樓,桃園市,大園區,"121.23702100000003,25.0811",桃園機場一航店,直營
中山北路13號,桃園市,大園區,"121.196842,25.064383",大園中山北加盟服務中心,加盟
